Contact ID,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Title,Business Description
337480,7/1/2022 0:00,7,6,Revenue growth,12.79345866,Employers and Who's Who,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,President/Chairman/CEO,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
345922,7/1/2022 0:00,7,6,Revenue growth,12.79345866,Employers and Who's Who,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,Senior Vice President - Human Relations,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
348474,7/1/2022 0:00,7,6,Revenue growth,12.79345866,Employers and Who's Who,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,Chief Communications Officer,"McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
1211957,7/1/2022 0:00,7,6,Revenue growth,12.79345866,Employers and Who's Who,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,"Senior Manager, Corporate Communications","McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
1211958,7/1/2022 0:00,7,6,Revenue growth,12.79345866,Employers and Who's Who,McCormick & Co. Inc.,24 Schilling Road,Hunt Valley,Maryland,21031,39.4925584,-76.652849,1889,13432,# employees,2022-Q2,8/4/2022,6317900000,Revenue,2021,1/31/2022,"Senior Manager, Global Power of Giving","McCormick & Company, Inc. is a global leader in flavor. With our diverse and balanced flavor portfolio, we are ideally positioned to meet the increasing demand for flavor around the world."
,7/1/2022 0:00,8,0,Revenue growth,11.84020387,Employers and Who's Who,Tessco Technologies Inc.,11126 McCormick Road,Cockeysville,Maryland,21030,39.4887872,-76.659882,1952,768,# employees,2019-Q1,7/1/2019,417545000,Revenue,2021,6/22/2022,,electronics
349383,7/1/2022 0:00,9,0,Revenue growth,9.039081667,Employers and Who's Who,Corporate Office Properties Trust,6711 Columbia Gateway Drive,Columbia,Maryland,21046,39.1850811,-76.8062706,1998,375,# employees,2019-Q1,7/1/2019,664446000,Revenue,2021,6/22/2022,VP - Property Operations,real estate
932392,7/1/2022 0:00,9,0,Revenue growth,9.039081667,Employers and Who's Who,Corporate Office Properties Trust,6711 Columbia Gateway Drive,Columbia,Maryland,21046,39.1850811,-76.8062706,1998,375,# employees,2019-Q1,7/1/2019,664446000,Revenue,2021,6/22/2022,"VP, Investor Relations",real estate
939090,7/1/2022 0:00,9,0,Revenue growth,9.039081667,Employers and Who's Who,Corporate Office Properties Trust,6711 Columbia Gateway Drive,Columbia,Maryland,21046,39.1850811,-76.8062706,1998,375,# employees,2019-Q1,7/1/2019,664446000,Revenue,2021,6/22/2022,"Manager, Investor Relations",real estate
2644564,7/1/2022 0:00,10,0,Revenue growth,6.019609756,Employers and Who's Who,Laureate Education Inc.,650 S. Exeter St.,Baltimore,Maryland,21202,39.283721,-76.600232,,33723,# employees,2022,1/25/2022,1086701000,Revenue,2021,6/22/2022,,"At Laureate Education, Inc., we understand the transformative power of education. For more than 22 years, we have remained committed to making a positive impact in the communities we serve by providing accessible, high-quality undergraduate, graduate and specialized degree programs. We know that when our students succeed, countries prosper and societies benefit. Our longstanding commitment to operating with purpose is evidenced by becoming the first Public Benefit Corporation publicly listed on any stock exchange in the world."
349239,7/1/2022 0:00,11,,Revenue growth,2.506315546,Employers and Who's Who,Ciena Corp.,7035 Ridge Road,Hanover,Maryland,21076,39.191798,-76.703082,1992,7000,# employees,2022,1/25/2022,3620684000,Revenue,2021,6/22/2022,"VP, Corporate Communications","Ciena is a networking systems, services and software company. We provide solutions that help our customers create the Adaptive Network in response to the constantly changing demands of their end-users. By delivering best-in-class networking technology through high-touch consultative relationships, we build the world’s most agile networks with automation, openness and scale."
