List Title,Last Published Date,List Ranking,Prior List Ranking,Ranking Criteria,Ranking Info,Classification,Record Name,Address 1,City,State,Zip,Latitude,Longitude,Year Founded,Employees,Emp Count Source,Emp Count Timeframe,Emp Count Timestamp,Revenue,Revenue Source,Revenue Timeframe,Revenue Last Updated,Contact Formal Name,Contact Full Name,Prefix,Business Description
Largest Hotels in Greater Baltimore,3/11/2022 0:00,6,,Total guest rooms,392,Travel and Tourism,Delta Hotels Baltimore Hunt Valley,245 Shawan Road,Hunt Valley,Maryland,21031,39.4939832,-76.6633795,,,,,,,,,,,,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,7,,Total guest rooms,338,Travel and Tourism,Sheraton Inner Harbor Hotel,300 S. Charles St.,Baltimore,Maryland,21201,39.284641,-76.61496,,177000,# employees,2019,2/27/2019,23000000000,Revenue,2018,2/27/2019,Mike Wilson,Mike Wilson,,"Discover a relaxed retreat in the heart of the city at Sheraton Inner Harbor Hotel. Perfectly situated and brimming with amenities, our award-winning hotel is an ideal home base for corporate travel and family vacations. Settle in to one of our 338 guest rooms, each of which offers ergonomic desks, high-speed Wi-Fi access, flat-screen TVs and the Sheraton Signature Sleep Experience. Stop by The Orioles Grille for a casual American meal, or visit Morton's Steakhouse for exquisitely prepared meat and seafood. Additional hotel amenities include a 24-hour fitness center, a Club Lounge and the Link@Sheraton - a place to connect, collaborate or simply relax. Explore our adaptable venues for your next event - from boardrooms to ballrooms, our hotel features a space to suit every occasion. Our prime location in Baltimore's Inner Harbor makes it easy for you to experience everything from a baseball game at Oriole Park at Camden Yards to the world-class National Aquarium with ease."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,7,,Total guest rooms,338,Travel and Tourism,Sheraton Inner Harbor Hotel,300 S. Charles St.,Baltimore,Maryland,21201,39.284641,-76.61496,,177000,# employees,2019,2/27/2019,23000000000,Revenue,2018,2/27/2019,Mike Wilson,Mike Wilson,,"Discover a relaxed retreat in the heart of the city at Sheraton Inner Harbor Hotel. Perfectly situated and brimming with amenities, our award-winning hotel is an ideal home base for corporate travel and family vacations. Settle in to one of our 338 guest rooms, each of which offers ergonomic desks, high-speed Wi-Fi access, flat-screen TVs and the Sheraton Signature Sleep Experience. Stop by The Orioles Grille for a casual American meal, or visit Morton's Steakhouse for exquisitely prepared meat and seafood. Additional hotel amenities include a 24-hour fitness center, a Club Lounge and the Link@Sheraton - a place to connect, collaborate or simply relax. Explore our adaptable venues for your next event - from boardrooms to ballrooms, our hotel features a space to suit every occasion. Our prime location in Baltimore's Inner Harbor makes it easy for you to experience everything from a baseball game at Oriole Park at Camden Yards to the world-class National Aquarium with ease."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,7,,Total guest rooms,338,Travel and Tourism,Sheraton Inner Harbor Hotel,300 S. Charles St.,Baltimore,Maryland,21201,39.284641,-76.61496,,177000,# employees,2019,2/27/2019,23000000000,Revenue,2018,2/27/2019,Benjamin Warner,Benjamin Warner,,"Discover a relaxed retreat in the heart of the city at Sheraton Inner Harbor Hotel. Perfectly situated and brimming with amenities, our award-winning hotel is an ideal home base for corporate travel and family vacations. Settle in to one of our 338 guest rooms, each of which offers ergonomic desks, high-speed Wi-Fi access, flat-screen TVs and the Sheraton Signature Sleep Experience. Stop by The Orioles Grille for a casual American meal, or visit Morton's Steakhouse for exquisitely prepared meat and seafood. Additional hotel amenities include a 24-hour fitness center, a Club Lounge and the Link@Sheraton - a place to connect, collaborate or simply relax. Explore our adaptable venues for your next event - from boardrooms to ballrooms, our hotel features a space to suit every occasion. Our prime location in Baltimore's Inner Harbor makes it easy for you to experience everything from a baseball game at Oriole Park at Camden Yards to the world-class National Aquarium with ease."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,7,,Total guest rooms,338,Travel and Tourism,Sheraton Inner Harbor Hotel,300 S. Charles St.,Baltimore,Maryland,21201,39.284641,-76.61496,,177000,# employees,2019,2/27/2019,23000000000,Revenue,2018,2/27/2019,Charnevia Bailey,Charnevia Bailey,,"Discover a relaxed retreat in the heart of the city at Sheraton Inner Harbor Hotel. Perfectly situated and brimming with amenities, our award-winning hotel is an ideal home base for corporate travel and family vacations. Settle in to one of our 338 guest rooms, each of which offers ergonomic desks, high-speed Wi-Fi access, flat-screen TVs and the Sheraton Signature Sleep Experience. Stop by The Orioles Grille for a casual American meal, or visit Morton's Steakhouse for exquisitely prepared meat and seafood. Additional hotel amenities include a 24-hour fitness center, a Club Lounge and the Link@Sheraton - a place to connect, collaborate or simply relax. Explore our adaptable venues for your next event - from boardrooms to ballrooms, our hotel features a space to suit every occasion. Our prime location in Baltimore's Inner Harbor makes it easy for you to experience everything from a baseball game at Oriole Park at Camden Yards to the world-class National Aquarium with ease."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,7,,Total guest rooms,338,Travel and Tourism,Sheraton Inner Harbor Hotel,300 S. Charles St.,Baltimore,Maryland,21201,39.284641,-76.61496,,177000,# employees,2019,2/27/2019,23000000000,Revenue,2018,2/27/2019,Seth Yecina,Seth Yecina,,"Discover a relaxed retreat in the heart of the city at Sheraton Inner Harbor Hotel. Perfectly situated and brimming with amenities, our award-winning hotel is an ideal home base for corporate travel and family vacations. Settle in to one of our 338 guest rooms, each of which offers ergonomic desks, high-speed Wi-Fi access, flat-screen TVs and the Sheraton Signature Sleep Experience. Stop by The Orioles Grille for a casual American meal, or visit Morton's Steakhouse for exquisitely prepared meat and seafood. Additional hotel amenities include a 24-hour fitness center, a Club Lounge and the Link@Sheraton - a place to connect, collaborate or simply relax. Explore our adaptable venues for your next event - from boardrooms to ballrooms, our hotel features a space to suit every occasion. Our prime location in Baltimore's Inner Harbor makes it easy for you to experience everything from a baseball game at Oriole Park at Camden Yards to the world-class National Aquarium with ease."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,8,,Total guest rooms,315,Travel and Tourism,BWI Airport Marriott,1743 W. Nursery Road,Linthicum,Maryland,21240,39.196941,-76.684067,,,,,,,,,,Laura Tippin,Laura Tippin,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,9,,Total guest rooms,310,Travel and Tourism,Cordish Companies/Live!,7002 Arundel Mills Circle,Hanover,Maryland,21076,39.157851,-76.727705,1910,15000,# employees,2022-Q2,7/15/2022,760878371,"Revenue, Companywide",2021,8/16/2022,Lori Russo,Lori Russo,,"The four-time AAA Four Diamond rated Live! Casino & Hotel Maryland is one of the largest and most luxurious commercial casinos in the country. Offering guests a range of activities including gaming, entertainment, world-class dining and hotel accommodations, Live! Casino & Hotel is consistently ranked the top tourist attraction in the state. Located between Washington, D.C. and Baltimore, and adjacent to the popular Arundel Mills Mall, the property features one of the area’s biggest entertainment venues, The HALL at Live!, along with Maryland’s #1 Sportsbook with partner FanDuel at Sports & Social Maryland. Other amenities include 200 live action table games, a large Poker Room, approximately 4,000 slot machines, two High Limit Rooms, and the Orchid Gaming & Smoking Patio. The award-winning hotel features 310 luxury guest rooms and The Cordish Art Collection complete with more than 40 pieces of contemporary art from world-renowned artists including Andy Warhol. Multiple dining options and guest services round out the experience at Live! Casino & Hotel Maryland. Live! Casino & Hotel Maryland is owned and operated by a company that is affiliated with The Cordish Companies. More information can be found at LiveCasinoHotel.com."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,9,,Total guest rooms,310,Travel and Tourism,Cordish Companies/Live!,7002 Arundel Mills Circle,Hanover,Maryland,21076,39.157851,-76.727705,1910,15000,# employees,2022-Q2,7/15/2022,760878371,"Revenue, Companywide",2021,8/16/2022,Sarah Orzach,Sarah Orzach,,"The four-time AAA Four Diamond rated Live! Casino & Hotel Maryland is one of the largest and most luxurious commercial casinos in the country. Offering guests a range of activities including gaming, entertainment, world-class dining and hotel accommodations, Live! Casino & Hotel is consistently ranked the top tourist attraction in the state. Located between Washington, D.C. and Baltimore, and adjacent to the popular Arundel Mills Mall, the property features one of the area’s biggest entertainment venues, The HALL at Live!, along with Maryland’s #1 Sportsbook with partner FanDuel at Sports & Social Maryland. Other amenities include 200 live action table games, a large Poker Room, approximately 4,000 slot machines, two High Limit Rooms, and the Orchid Gaming & Smoking Patio. The award-winning hotel features 310 luxury guest rooms and The Cordish Art Collection complete with more than 40 pieces of contemporary art from world-renowned artists including Andy Warhol. Multiple dining options and guest services round out the experience at Live! Casino & Hotel Maryland. Live! Casino & Hotel Maryland is owned and operated by a company that is affiliated with The Cordish Companies. More information can be found at LiveCasinoHotel.com."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,10,,Total guest rooms,300,Travel and Tourism,Embassy Suites by Hilton - Baltimore Inner Harbor,222 St. Paul Place,Baltimore,Maryland,21202,39.2920761,-76.6142389,,8000,# employees,2020,3/6/2020,280000000,Revenue,2019,3/6/2020,Scott Behm,Scott Behm,,"The Embassy Suites by Hilton Baltimore Inner Harbor is one of Schulte's 155 hotels in 31 states. With 37 stories and 45,000 square feet of distinctively elegant function space, Baltimore’s crown jewel awaits you at the Embassy Suites Baltimore Inner Harbor and The Grand. The Grand historic venue – renowned in business and social circles – features 19 meeting rooms with solid-walls, hand-crafted architecture, period décor, extra-high ceilings, abundant natural lighting and copious stained glass. Connected via skywalk, the hotel provides all-suite accommodations in the brand’s value-tradition (complimentary full-American breakfast and evening reception). Additionally, the hotel offers a restaurant/bar, and full-service Starbucks."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,10,,Total guest rooms,300,Travel and Tourism,Embassy Suites by Hilton - Baltimore Inner Harbor,222 St. Paul Place,Baltimore,Maryland,21202,39.2920761,-76.6142389,,8000,# employees,2020,3/6/2020,280000000,Revenue,2019,3/6/2020,Paul Addalia,Paul Addalia,,"The Embassy Suites by Hilton Baltimore Inner Harbor is one of Schulte's 155 hotels in 31 states. With 37 stories and 45,000 square feet of distinctively elegant function space, Baltimore’s crown jewel awaits you at the Embassy Suites Baltimore Inner Harbor and The Grand. The Grand historic venue – renowned in business and social circles – features 19 meeting rooms with solid-walls, hand-crafted architecture, period décor, extra-high ceilings, abundant natural lighting and copious stained glass. Connected via skywalk, the hotel provides all-suite accommodations in the brand’s value-tradition (complimentary full-American breakfast and evening reception). Additionally, the hotel offers a restaurant/bar, and full-service Starbucks."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,11,,Total guest rooms,283,Travel and Tourism,Sheraton Baltimore North Hotel,903 Dulaney Valley Road,Towson,Maryland,21204,39.4063224,-76.6005206,,,# employees,2010,2/4/2014,,,,,Heather Farnam,Heather Farnam,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,11,,Total guest rooms,283,Travel and Tourism,Sheraton Baltimore North Hotel,903 Dulaney Valley Road,Towson,Maryland,21204,39.4063224,-76.6005206,,,# employees,2010,2/4/2014,,,,,Adam Novotny,Adam Novotny,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,11,,Total guest rooms,283,Travel and Tourism,Sheraton Baltimore North Hotel,903 Dulaney Valley Road,Towson,Maryland,21204,39.4063224,-76.6005206,,,# employees,2010,2/4/2014,,,,,Adam Novotny,Adam Novotny,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,12,,Total guest rooms,280,Travel and Tourism,Hilton Baltimore BWI Airport,1739 W. Nursery Road,Linthicum Heights,Maryland,21090,39.1958614,-76.6804782,,4000,# employees,2020,3/5/2020,,,,,Gail Scrivener,Gail Scrivener,,"280 room hotel with 16,000 sq ft banquet space"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,12,,Total guest rooms,280,Travel and Tourism,Hilton Baltimore BWI Airport,1739 W. Nursery Road,Linthicum Heights,Maryland,21090,39.1958614,-76.6804782,,4000,# employees,2020,3/5/2020,,,,,Racquel Gower,Racquel Gower,,"280 room hotel with 16,000 sq ft banquet space"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,12,,Total guest rooms,280,Travel and Tourism,Hilton Baltimore BWI Airport,1739 W. Nursery Road,Linthicum Heights,Maryland,21090,39.1958614,-76.6804782,,4000,# employees,2020,3/5/2020,,,,,Keith Moses,Keith Moses,,"280 room hotel with 16,000 sq ft banquet space"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,13,,Total guest rooms,260,Travel and Tourism,DoubleTree by Hilton Baltimore - BWI Airport Hotel,890 Elkridge Landing Road,Linthicum,Maryland,21090,39.2017383,-76.6897708,,84,# employees,2010,2/4/2014,,,,,Edward Borgan,Edward Borgan,,"New renovated full service hotel and conference center offering 24 hour shuttle service to BWI airport, light rail and Amtrak stations"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,13,,Total guest rooms,260,Travel and Tourism,Westin Baltimore Washington Airport,1110 Old Elkridge Landing Road,Linthicum,Maryland,21090,39.2068227,-76.6929323,,,,,,,,,,Stephen Scarborough,Stephen Scarborough,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,15,,Total guest rooms,256,Travel and Tourism,Four Seasons Hotel Baltimore,200 International Drive,Baltimore,Maryland,21202,39.2828589,-76.6020778,,,,,,,,,,Michael Mina,Michael Mina,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,15,,Total guest rooms,256,Travel and Tourism,Four Seasons Hotel Baltimore,200 International Drive,Baltimore,Maryland,21202,39.2828589,-76.6020778,,,,,,,,,,Vaughn Allen,Vaughn Allen,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,15,,Total guest rooms,256,Travel and Tourism,Four Seasons Hotel Baltimore,200 International Drive,Baltimore,Maryland,21202,39.2828589,-76.6020778,,,,,,,,,,Julien Carralero,Julien Carralero,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,15,,Total guest rooms,256,Travel and Tourism,Four Seasons Hotel Baltimore,200 International Drive,Baltimore,Maryland,21202,39.2828589,-76.6020778,,,,,,,,,,Audrey Slade,Audrey Slade,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,16,,Total guest rooms,251,Travel and Tourism,Embassy Suites Baltimore at BWI Airport,1300 Concourse Drive,Linthicum,Maryland,21090,39.2066904,-76.6909637,,,,,,,,,,Gary Gustafson,Gary Gustafson,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,17,,Total guest rooms,249,Travel and Tourism,Days Inn Inner Harbor,100 Hopkins Place,Baltimore,Maryland,21201,39.2872091,-76.6180715,,102,# employees,2010,2/4/2014,,,,,Mr. Mike Rosa,Mike Rosa,Mr.,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,17,,Total guest rooms,249,Travel and Tourism,Days Inn Inner Harbor,100 Hopkins Place,Baltimore,Maryland,21201,39.2872091,-76.6180715,,102,# employees,2010,2/4/2014,,,,,Kelly Drnec,Kelly Drnec,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,17,,Total guest rooms,249,Travel and Tourism,Days Inn Inner Harbor,100 Hopkins Place,Baltimore,Maryland,21201,39.2872091,-76.6180715,,102,# employees,2010,2/4/2014,,,,,Alison Jones,Alison Jones,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,18,,Total guest rooms,225,Travel and Tourism,Westin Annapolis,100 Westgate Circle,Annapolis,Maryland,21401,38.9766628,-76.5042442,,135,# employees,2010,2/4/2014,,,,,Ms. Cathy Sandler,Cathy Sandler,Ms.,"Concierge, Spa, Health Club, Room Service, Valet Parking, Pet friendly, On Site Bar and Restaurant"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,18,,Total guest rooms,225,Travel and Tourism,Westin Annapolis,100 Westgate Circle,Annapolis,Maryland,21401,38.9766628,-76.5042442,,135,# employees,2010,2/4/2014,,,,,Mr. Charles Hegeman,Charles Hegeman,Mr.,"Concierge, Spa, Health Club, Room Service, Valet Parking, Pet friendly, On Site Bar and Restaurant"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,18,,Total guest rooms,225,Travel and Tourism,Westin Annapolis,100 Westgate Circle,Annapolis,Maryland,21401,38.9766628,-76.5042442,,135,# employees,2010,2/4/2014,,,,,James Piccoli,James Piccoli,,"Concierge, Spa, Health Club, Room Service, Valet Parking, Pet friendly, On Site Bar and Restaurant"
Largest Hotels in Greater Baltimore,3/11/2022 0:00,19,,Total guest rooms,223,Travel and Tourism,Embassy Suites Baltimore North-Hunt Valley,213 International Circle,Hunt Valley,Maryland,21030,39.4960876,-76.6631661,,65,# employees,2011,2/4/2014,7500000,"Revenue, Companywide",2011,2/4/2014,Kristyn Parker,Kristyn Parker,,Hotel Accomodations
Largest Hotels in Greater Baltimore,3/11/2022 0:00,19,,Total guest rooms,223,Travel and Tourism,Embassy Suites Baltimore North-Hunt Valley,213 International Circle,Hunt Valley,Maryland,21030,39.4960876,-76.6631661,,65,# employees,2011,2/4/2014,7500000,"Revenue, Companywide",2011,2/4/2014,Colleen Wolfe,Colleen Wolfe,,Hotel Accomodations
Largest Hotels in Greater Baltimore,3/11/2022 0:00,19,,Total guest rooms,223,Travel and Tourism,Embassy Suites Baltimore North-Hunt Valley,213 International Circle,Hunt Valley,Maryland,21030,39.4960876,-76.6631661,,65,# employees,2011,2/4/2014,7500000,"Revenue, Companywide",2011,2/4/2014,Maggie Giddens,Maggie Giddens,,Hotel Accomodations
Largest Hotels in Greater Baltimore,3/11/2022 0:00,20,,Total guest rooms,219,Travel and Tourism,DoubleTree by Hilton Hotel Annapolis,210 Holiday Court,Annapolis,Maryland,21401,38.98259,-76.5474058,,,# employees,2009,2/4/2014,,,,,Marie Moore,Marie Moore,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,20,,Total guest rooms,219,Travel and Tourism,DoubleTree by Hilton Hotel Annapolis,210 Holiday Court,Annapolis,Maryland,21401,38.98259,-76.5474058,,,# employees,2009,2/4/2014,,,,,Bhaval Brahmbhatt,Bhaval Brahmbhatt,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,21,,Total guest rooms,216,Travel and Tourism,Graduate Annapolis,126 West St.,Annapolis,Maryland,21401,38.9780877,-76.4981244,,,,,,,,,,,,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,22,,Total guest rooms,212,Travel and Tourism,Merriweather Lakehouse Hotel,10209 Wincopin Circle,Columbia,Maryland,21044,39.2169104,-76.8544505,,25,# employees,2022,3/1/2022,,,,,Jordan Jackson,Jordan Jackson,,"We’re a custom designed luxury hotel where nature connects the indoors with the outdoors & your personal rhythm sets the stage for any experience. From our panoramic views to our brand new rooftop pool (opening in the spring) we have created an “Experience Like Nothing Else®”.
Our heartfelt, authentic design & attention to the smallest details ensure that your next experience will be tailored towards your needs.
THE MERRIWEATHER LAKEHOUSE HOTEL offers the best of all worlds – the convenience of location nestled between two cities and surrounded by business, culture, dining and entertainment while providing a restful retreat inspired by our natural settings.

Due to opening in end of 2021 we do not have any revenue volume for 2021."
Largest Hotels in Greater Baltimore,3/11/2022 0:00,23,,Total guest rooms,205,Travel and Tourism,Courtyard Baltimore Downtown-Inner Harbor,1000 Aliceanna St.,Baltimore,Maryland,21202,39.28326,-76.599777,,50,# employees,2010,2/4/2014,,,,,Phillip Turner,Phillip Turner,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,23,,Total guest rooms,205,Travel and Tourism,Courtyard Baltimore Downtown-Inner Harbor,1000 Aliceanna St.,Baltimore,Maryland,21202,39.28326,-76.599777,,50,# employees,2010,2/4/2014,,,,,Jennifer Reich,Jennifer Reich,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,23,,Total guest rooms,205,Travel and Tourism,Courtyard Baltimore Downtown-Inner Harbor,1000 Aliceanna St.,Baltimore,Maryland,21202,39.28326,-76.599777,,50,# employees,2010,2/4/2014,,,,,Amy Kaiser,Amy Kaiser,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,23,,Total guest rooms,205,Travel and Tourism,Courtyard Baltimore Downtown-Inner Harbor,1000 Aliceanna St.,Baltimore,Maryland,21202,39.28326,-76.599777,,50,# employees,2010,2/4/2014,,,,,Patrick McManus,Patrick McManus,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,24,,Total guest rooms,203,Travel and Tourism,Royal Sonesta Harbor Court Hotel,550 Light St.,Baltimore,Maryland,21202,39.282623,-76.613088,,175,# employees,2011,2/4/2014,,,,,Bob Haislip,Bob Haislip,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,24,,Total guest rooms,203,Travel and Tourism,Royal Sonesta Harbor Court Hotel,550 Light St.,Baltimore,Maryland,21202,39.282623,-76.613088,,175,# employees,2011,2/4/2014,,,,,Bob Haislip,Bob Haislip,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,24,,Total guest rooms,203,Travel and Tourism,Sheraton Baltimore Washington Airport Hotel,1100 Old Elkridge Landing Road,Linthicum,Maryland,21090,39.2054609,-76.6929959,2007,,,,,,,,,Stephen Scarborough,Stephen Scarborough,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,24,,Total guest rooms,203,Travel and Tourism,Sheraton Baltimore Washington Airport Hotel,1100 Old Elkridge Landing Road,Linthicum,Maryland,21090,39.2054609,-76.6929959,2007,,,,,,,,,Bill Driscoll,Bill Driscoll,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,26,,Total guest rooms,202,Travel and Tourism,"Hotel Monaco Baltimore, a Kimpton Hotel",2 N. Charles St.,Baltimore,Maryland,21201,39.289822,-76.615173,,130,# employees,2012,2/4/2014,12000000,"Revenue, Companywide",2014,9/15/2015,Shahram Khan,Shahram Khan,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,27,,Total guest rooms,194,Travel and Tourism,Residence Inn Baltimore at Johns Hopkins Medical Campus,800 N. Wolfe St.,Baltimore,Maryland,21205,39.2997279,-76.5910434,,,,,,,,,,,,,
Largest Hotels in Greater Baltimore,3/11/2022 0:00,28,,Total guest rooms,189,Travel and Tourism,Residence Inn by Marriott-Baltimore Downtown-Inner Harbor,17 Light St.,Baltimore,Maryland,21202,39.28862,-76.613724,,,,,,,,,,,,,
